date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:28:04	36/36	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202024%2007:28:05%20GMT	https://clever.webpixels.io/robots.txt		(from )
09:28:04	33794/33794	---MCZ	200	added ('OK')	text/html	etag:W/%226384e4a7-8402%22	https://clever.webpixels.io/	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/index.html	(from )
09:28:05	255949/255949	---MCZ	200	added ('OK')	text/css	etag:W/%226384e131-3e7cd%22	https://clever.webpixels.io/css/main.css	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/css/main.css	(from https://clever.webpixels.io/)
09:28:05	73271/73271	---M-Z	200	added ('OK')	text/css	etag:W/%2211e37-gaZqnrLenLCs4BvyXVKzdrhY6WA%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.7.2/font/bootstrap-icons.css	C:/My%20Web%20Sites/nyasha_project/cdn.jsdelivr.net/npm/bootstrap-icons@1.7.2/font/bootstrap-icons.css	(from https://clever.webpixels.io/)
09:28:05	544939/544939	---MCZ	200	added ('OK')	text/css	etag:W/%226384e131-850ab%22	https://clever.webpixels.io/css/utilities.css	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/css/utilities.css	(from https://clever.webpixels.io/)
09:28:05	1346/1346	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2023%20Apr%202024%2007:28:06%20GMT	https://plausible.io/js/script.js	C:/My%20Web%20Sites/nyasha_project/plausible.io/js/script.js	(from https://clever.webpixels.io/)
09:28:06	4634/4634	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226383d9b7-121a%22	https://clever.webpixels.io/img/logos/clever-primary.svg	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/img/logos/clever-primary.svg	(from https://clever.webpixels.io/)
09:28:06	32597/32597	---M--	200	added ('OK')	image/jpeg	etag:%226383d9b7-7f55%22	https://clever.webpixels.io/img/people/img-profile.jpg	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/img/people/img-profile.jpg	(from https://clever.webpixels.io/)
09:28:06	33767/33767	---MCZ	200	added ('OK')	text/html	etag:W/%226384e4a7-83e7%22	https://clever.webpixels.io/pages/projects/overview.html	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/pages/projects/overview.html	(from https://clever.webpixels.io/)
09:28:07	41082/41082	---MCZ	200	added ('OK')	text/html	etag:W/%226384e4a7-a07a%22	https://clever.webpixels.io/pages/projects/grid-view.html	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/pages/projects/grid-view.html	(from https://clever.webpixels.io/)
